date,regime,vix_close,h_decimal,A,k_decay,sigma_annual,informed_share,informed_imputed,gamma,epsilon_at_h,modulus_at_h,eps_star,fragility,stable_at_h,regime_order
1995-08-07,calm,13.1,0.010520037836002135,2.108716026241799,24.8499,0.0439069334663702,0.7154442150091062,True,91.90641354504443,51.88118712364528,0.5645001814614135,91.90641354504443,0.6548753303554047,True,0
1995-08-08,calm,13.06,0.010489576506177102,2.114264236045856,24.8499,0.0439069334663702,0.7154442150091062,True,92.17487567942987,52.14255191600629,0.5656915892932702,92.17487567942987,0.6529679859988468,True,0
1995-08-09,calm,12.75,0.010253501200033105,2.158273381294964,24.8499,0.0439069334663702,0.7154442150091062,True,94.30736212475603,54.22616236977421,0.5749939468992914,94.30736212475603,0.6382030159264951,True,0
1995-08-10,calm,13.0,0.010443884511439554,2.1226415094339623,24.8499,0.0439069334663702,0.7154442150091062,True,92.58039148398208,52.53775250573261,0.5674825053512816,92.58039148398208,0.6501078896658671,True,0
1995-08-11,calm,12.9,0.010367731186876976,2.1367521367521367,24.8499,0.0439069334663702,0.7154442150091062,True,93.2638788743745,53.204947094570194,0.5704775282425978,93.2638788743745,0.645343552707721,True,0
1995-08-14,calm,13.24,0.010626652490389748,2.089524517087667,24.8499,0.0439069334663702,0.7154442150091062,True,90.97846475494329,50.97943684289977,0.5603461981933457,90.97846475494329,0.6615548316209761,True,0
1995-08-15,calm,12.35,0.009948887901782784,2.217841301133564,24.8499,0.0439069334663702,0.7154442150091062,True,97.20189870787108,57.074880065642915,0.5871786541657461,97.20189870787108,0.6191982227937451,True,0
1995-08-16,calm,12.45,0.010025041226345366,2.202643171806167,24.8499,0.0439069334663702,0.7154442150091062,True,96.46252979739967,56.34503547702445,0.5841131846258436,96.46252979739967,0.6239442720246164,True,0
1995-08-17,calm,12.13,0.009781350587745109,2.252026824141727,24.8499,0.0439069334663702,0.7154442150091062,True,98.86704873892973,58.72388354965056,0.5939682057741806,98.86704873892973,0.6087694909455933,True,0
1995-08-18,calm,12.03,0.009705197263182528,2.2679165406713038,24.8499,0.0439069334663702,0.7154442150091062,True,99.6419748820608,59.49374523821298,0.5970751313252427,99.6419748820608,0.6040350264367083,True,0
1995-08-21,calm,13.42,0.01076372847460239,2.065357077290251,24.8499,0.0439069334663702,0.7154442150091062,True,89.81143767320414,49.84909213680418,0.555041689881299,89.81143767320414,0.6701512022454651,True,0
1995-08-22,calm,12.6,0.010139271213189235,2.1802325581395348,24.8499,0.0439069334663702,0.7154442150091062,True,95.37334627484947,55.27258591533757,0.5795391277983636,95.37334627484947,0.6310698458523433,True,0
1995-08-23,calm,13.17,0.010573345163195942,2.0990764063811924,24.8499,0.0439069334663702,0.7154442150091062,True,91.44018665442469,51.42779824589112,0.562420092603809,91.44018665442469,0.6582143490099603,True,0
1995-08-24,calm,12.94,0.010398192516702008,2.13108543284713,24.8499,0.0439069334663702,0.7154442150091062,True,92.9893305947878,52.93677949604895,0.5692779930498407,92.9893305947878,0.6472489106773396,True,0
1995-08-25,calm,12.33,0.009933657236870268,2.220906129700918,24.8499,0.0439069334663702,0.7154442150091062,True,97.35106803335766,57.2223052604331,0.587793297150327,97.35106803335766,0.6182494362719066,True,0
1995-08-28,calm,12.48,0.010047887223714138,2.198124267291911,24.8499,0.0439069334663702,0.7154442150091062,True,96.24280265291047,56.12842309199721,0.5831960577293084,96.24280265291047,0.6253687680849275,True,0
1995-08-29,calm,12.65,0.010177347875470526,2.1728633510381457,24.8499,0.0439069334663702,0.7154442150091062,True,95.01547559249518,54.920927359594806,0.5780208646762038,95.01547559249518,0.6334467365108396,True,0
1995-08-30,calm,12.03,0.009705197263182528,2.2679165406713038,24.8499,0.0439069334663702,0.7154442150091062,True,99.6419748820608,59.49374523821298,0.5970751313252427,99.6419748820608,0.6040350264367083,True,0
1995-08-31,calm,11.52,0.00931681530791337,2.3525721455457966,24.8499,0.0439069334663702,0.7154442150091062,True,103.78019645885487,63.63010664833001,0.6131237829517606,103.78019645885487,0.579949209827845,True,0
1995-09-01,calm,11.29,0.009141662661419437,2.3928533446772304,24.8499,0.0451860262486907,0.7154442150091062,True,105.75466873400433,65.61796452900752,0.6204734534609605,105.75466873400433,0.5691213792506431,True,0
1995-09-05,calm,11.65,0.009415814629844723,2.3303987571206632,24.8499,0.0451860262486907,0.7154442150091062,True,102.69477065462596,62.54116973769253,0.6090005298130078,102.69477065462596,0.5860789458745457,True,0
1995-09-06,calm,11.65,0.009415814629844723,2.3303987571206632,24.8499,0.0451860262486907,0.7154442150091062,True,102.69477065462596,62.54116973769253,0.6090005298130078,102.69477065462596,0.5860789458745457,True,0
1995-09-07,calm,11.85,0.009568121278969886,2.2970903522205206,24.8499,0.0451860262486907,0.7154442150091062,True,101.06627589170714,60.91268943439463,0.6027004448018128,101.06627589170714,0.5955225162999204,True,0
1995-09-08,calm,11.16,0.009042663339488081,2.4162371134020613,24.8499,0.0451860262486907,0.7154442150091062,True,106.90238736513658,66.77750121390693,0.6246586522508727,106.90238736513658,0.5630112143942625,True,0
1995-09-11,calm,11.51,0.00930919997545711,2.354295280945904,24.8499,0.0451860262486907,0.7154442150091062,True,103.86459072782671,63.71488971352171,0.6134418791528694,103.86459072782671,0.5794779771463197,True,0
1995-09-12,calm,11.46,0.009271123313175823,2.3629489603024574,24.8499,0.0451860262486907,0.7154442150091062,True,104.2885176732853,64.14101973732483,0.6150343409642237,104.2885176732853,0.577122431835169,True,0
1995-09-13,calm,11.35,0.009187354656156985,2.382212811011117,24.8499,0.0451860262486907,0.7154442150091062,True,105.23277511748903,65.09166932772835,0.6185493944738756,105.23277511748903,0.5719438916715279,True,0
1995-09-14,calm,11.1,0.008996971344750533,2.4271844660194177,24.8499,0.0451860262486907,0.7154442150091062,True,107.44007474793102,67.32172195605784,0.6265978696869277,107.44007474793102,0.5601936062805135,True,0
1995-09-15,calm,11.58,0.009362507302650919,2.3422860712054967,24.8499,0.0451860262486907,0.7154442150091062,True,103.27654461936451,63.124480575046746,0.6112179760438151,103.27654461936451,0.5827774656280106,True,0
1995-09-18,calm,12.34,0.009941272569326528,2.219372657328861,24.8499,0.0451860262486907,0.7154442150091062,True,97.27642897710172,57.148531501442065,0.5874859110514273,97.27642897710172,0.618723811770055,True,0
1995-09-19,calm,12.67,0.010192578540383041,2.1699295978397144,24.8499,0.0451860262486907,0.7154442150091062,True,94.87304312670808,54.781066666374294,0.5774144568464112,94.87304312670808,0.6343977271995807,True,0
1995-09-20,calm,12.35,0.009948887901782784,2.217841301133564,24.8499,0.0451860262486907,0.7154442150091062,True,97.20189870787108,57.074880065642915,0.5871786541657461,97.20189870787108,0.6191982227937451,True,0
1995-09-21,calm,12.5,0.010063117888626653,2.1951219512195124,24.8499,0.0451860262486907,0.7154442150091062,True,96.09684662112139,55.98460863825097,0.5825852835627382,96.09684662112139,0.6263186051191683,True,0
1995-09-22,calm,12.46,0.010032656558801622,2.201134807278419,24.8499,0.0451860262486907,0.7154442150091062,True,96.3891813781741,56.27271224664307,0.5838073468625307,96.3891813781741,0.624419069355432,True,0
1995-09-25,calm,13.22,0.010611421825477233,2.0922447461409703,24.8499,0.0451860262486907,0.7154442150091062,True,91.109929221025,51.10703132097837,0.5609381080408594,91.109929221025,0.6606002600011052,True,0
1995-09-26,calm,12.9,0.010367731186876976,2.1367521367521367,24.8499,0.0451860262486907,0.7154442150091062,True,93.2638788743745,53.204947094570194,0.5704775282425978,93.2638788743745,0.645343552707721,True,0
1995-09-27,calm,12.9,0.010367731186876976,2.1367521367521367,24.8499,0.0451860262486907,0.7154442150091062,True,93.2638788743745,53.204947094570194,0.5704775282425978,93.2638788743745,0.645343552707721,True,0
1995-09-28,calm,12.46,0.010032656558801622,2.201134807278419,24.8499,0.0451860262486907,0.7154442150091062,True,96.3891813781741,56.27271224664307,0.5838073468625307,96.3891813781741,0.624419069355432,True,0
1995-09-29,calm,12.74,0.010245885867576849,2.1597235553849106,24.8499,0.0451860262486907,0.7154442150091062,True,94.37772013108967,54.29513081465903,0.5752960628763193,94.37772013108967,0.6377272395274218,True,0
1995-10-02,calm,13.95,0.011167341094784067,1.9973368841544608,24.8499,0.0418820516486132,0.7154442150091062,True,86.53632133918082,46.70005180321479,0.5396583894544468,86.53632133918082,0.6955142303332531,True,0
1995-10-03,calm,14.5,0.011586184379878255,1.931330472103004,24.8499,0.0418820516486132,0.7154442150091062,True,83.37256201704464,43.6924060389274,0.5240621732362615,83.37256201704464,0.7219070816102156,True,0
1995-10-04,calm,14.86,0.011860336348303545,1.890438581750966,24.8499,0.0418820516486132,0.7154442150091062,True,81.42025104958897,41.85439106065303,0.5140538197943118,81.42025104958897,0.7392171131409849,True,0
1995-10-05,normal,15.74,0.012133671137034695,1.7974117271129573,16.6662,0.0418820516486132,0.7154442150091062,True,65.7546984064805,38.9478103164778,0.5923198077149004,65.7546984064805,0.9153299215217694,True,1
1995-10-06,calm,13.98,0.01119018709215284,1.9936204146730463,24.8499,0.0418820516486132,0.7154442150091062,True,86.35779840556499,46.52941615089632,0.538798082049043,86.35779840556499,0.6969520303126773,True,0
1995-10-09,calm,14.85,0.011852721015847287,1.8915510718789408,24.8499,0.0418820516486132,0.7154442150091062,True,81.47328339284833,41.90413019710067,0.5143297097165841,81.47328339284833,0.7387359441730147,True,0
